;;minus;minus;minus;minus;plus;plus;plus;plus;minus;plus;minus;plus;plus;plus;minus;plus;plus;plus
;;almen;indkomst;Grundskyld;spend;privlend;konkud;tilskudboern;klassekvotient;perelev;dagplejeplads;ældreudgifter;udbragtmad;plejehjem;aflastning;personale;skat;boernehave;sfo
Sønderborg Kommune;540;22,4;25,7;27,1;60.221;22,6;22,6;NEJ;20,6;46.896;2.448;38.359;50;3.425,00;123;72,8;25,71;1.701;1.444
Tønder Kommune;550;10,9;25,3;21,24;60.701;23,2;24,3;NEJ;21,6;46.188;2.310;38.227;51;3.473,00;116;79,5;24,94;1.930;1.125
Esbjerg Kommune;561;25,1;25,6;25,29;58.595;24,5;25,9;JA;21,4;54.328;2.328;40.795;51;3.468,00;114;78,7;25,5;1.523;1.664
Fanø Kommune;563;7,7;24,3;34;60.953;28,2;28,2;JA;18,7;65.470;1.504;29.790;51;2.900,00;143;66,5;26,21;1.504;623
Varde Kommune;573;13,3;25,1;31,56;57.956;26,8;27,8;JA;21,4;59.816;2.342;39.074;47;3.473,00;114;74,2;25,58;1.549;1.490
Vejen Kommune;575;13,7;25,2;20,36;56.815;26,8;26,8;NEJ;21,6;51.693;2.374;42.008;51;3.473,00;114;67,9;24,85;1.613;1.208
Aabenraa Kommune;580;17,8;25,6;18,9;60.013;24,8;26,5;NEJ;20,4;46.212;2.490;37.692;48;3.339,00;127,25;73,1;24,99;1.600;1.368
Fredericia Kommune;607;25,9;25,5;26;60.380;24;24;JA;24,8;44.322;2.370;44.735;44,33;3.473,00;132;76,5;25,44;1.746;1.627
Kolding Kommune;621;20,2;25;25;56.983;27,8;27,8;NEJ;21,5;35.288;2.766;43.862;42,57;3.473,00;131;73,3;24,9;1.761;1.557
Vejle Kommune;630;19,5;23,4;27,75;52.227;28,4;28,4;JA;25,2;45.179;2.530;35.930;49;3.473,00;113;74,6;23,66;1.785;1.888
Horsens Kommune;615;15,4;25,2;22,56;56.850;25,4;25,5;NEJ;21,7;48.167;2.508;37.356;48;3.406,75;126;73,4;24,91;1.480;1.594
Herning Kommune;657;18;24,9;20,53;53.922;26,6;26,6;NEJ;19,6;46.437;2.130;33.424;51;3.473,00;117;70,2;24,47;1.480;971
Holstebro Kommune;661;18,5;25,3;24,12;54.602;29,8;29,8;JA;21;42.033;2.383;36.537;48;3.406,67;134;70,7;25,14;1.562;1.378
Lemvig Kommune;665;7,7;25,2;28;56.314;22,8;22,8;NEJ;19;55.135;2.550;36.010;46;3.254,00;107;74,8;25,27;1.869;1.607
Struer Kommune;671;15,2;25,3;22,9;58.060;25,8;25,8;NEJ;19,7;53.369;2.146;39.286;50;3.386,00;111;74,5;25,09;1.384;1.634
Syddjurs Kommune;706;9,6;25,9;33,8;57.118;25,7;25,7;NEJ;21,2;49.491;2.561;36.512;51;3.472,00;-;63,7;26,55;1.461;1.311
Norddjurs Kommune;707;12,3;25,6;34;60.509;23;23;NEJ;19,7;52.272;2.523;37.375;50;3.472,00;145;86,3;26,03;1.434;1.121
Favrskov Kommune;710;9,4;25,7;23,32;51.724;27,5;27,5;NEJ;22,1;48.198;2.234;35.203;50;3.473,00;13,7;68,5;25,43;1.545;1.397
Odder Kommune;727;15,6;25,1;30,32;55.983;29,1;29,1;NEJ;21,3;41.308;2.676;39.947;51;3.472,00;126;64,2;25,54;1.578;1.432
Randers Kommune;730;16,7;25,6;27,93;58.658;23,2;23,2;JA;22;42.937;2.287;41.872;46;3.200,00;105;77,2;25,66;1.504;1.626
Silkeborg Kommune;740;19,1;25,5;28,26;54.413;27,7;28,7;JA;22,5;45.308;2.395;38.742;51;3.473,00;-;72,3;25,64;1.452;1.499
Samsø Kommune;741;3,6;26;30,75;75.878;23,2;23,2;NEJ;18;46.931;2.564;41.445;42,3;3.473,00;117,7;93,9;26,31;1.970;1.370
Skanderborg Kommune;746;11,9;25,7;24,66;53.093;27,4;27,5;NEJ;22,9;47.419;2.514;36.955;46,5;3.416,00;112;81,3;25,51;1.656;1.467
Aarhus Kommune;751;27,8;24,4;24,58;54.228;24,3;24,3;NEJ;21,8;50.226;2.589;45.280;51;3.473,00;114,5;68;24,3;1.682;1.524
Ikast-Brande Kommune;756;13,2;25,1;20,35;56.636;27,9;27,9;NEJ;21,4;51.965;2.418;38.590;44;3.425,00;112,5;71,2;24,69;1.655;1.192
Ringkøbing-Skjern Kommune;760;11,1;25;31;57.243;25,3;25,3;JA;19,2;42.475;2.163;45.522;51;3.473,00;128,18;66,4;25,41;1.612;1.084
Hedensted Kommune;766;9,1;25,4;18;54.082;24,8;24,8;JA;20,8;50.091;2.565;39.844;50;3.472,00;114;67,5;24,66;1.787;1.633
Skive Kommune;779;14,7;25,5;20,68;59.094;21,7;21,8;JA;19,9;46.942;2.308;40.220;51;3.473,00;129;78,9;25,12;1.621;1.448
Viborg Kommune;791;15,9;25,7;23,7;54.785;23,7;27,4;NEJ;22,3;47.237;2.520;39.267;42,5;3.425,50;141;68,6;25,49;1.440;1.407
Morsø Kommune;773;9,2;25,8;24,68;64.203;27,6;27,6;JA;23;52.982;2.223;44.988;49;3.131,00;125;74,5;25,7;1.769;1.178
Thisted Kommune;787;8,5;25,5;23,75;58.200;27,4;27,4;NEJ;20,6;48.104;2.427;39.015;51;3.473,00;113,87;81,5;25,35;1.586;1.289
Brønderslev Kommune;810;12;26,9;31,23;60.175;30,2;30,2;NEJ;21,3;50.034;2.232;39.923;51;3.473,00;114;72,8;27,03;1.406;1.750
Frederikshavn Kommune;813;20,9;26,2;29,9;61.548;25,4;25,4;NEJ;22,4;55.574;2.209;39.390;51;3.473,00;115;77,1;26,38;1.471;1.306
Vesthimmerlands Kommune;820;8,7;27;22,82;60.597;33,5;33,6;NEJ;19,4;49.392;2.319;48.153;51;3.473,00;14,3;80,3;26,73;1.572;1.100
Læsø Kommune;825;4,2;25,8;34;87.334;38,2;38,2;NEJ;16,9;75.583;U;42.940;51;3.473,00;-;95,1;26,61;2.095;982
Rebild Kommune;840;6,8;25,1;26,086;53.101;22,3;22,5;NEJ;21,2;50.170;2.448;37.590;51;3.473,00;130;70,5;25,09;1.577;1.306
Mariagerfjord Kommune;846;8,2;25,9;28,8;58.160;25;25;NEJ;21,2;50.853;2.415;39.442;50;3.385,00;158;72,3;25,99;1.745;1.446
Jammerbugt Kommune;849;6,5;25,7;32,85;59.532;35,8;35,8;JA;21,1;53.700;2.448;34.149;51;3.172,00;104;72,1;26,19;1.588;1.402
Aalborg Kommune;851;25,7;25,4;26,95;56.595;28,6;28,6;NEJ;20,8;57.106;2.438;45.473;51;3.102,50;102;77,5;25,42;1.700;1.128
Hjørring Kommune;860;13;25,9;34;60.099;25,1;26,3;NEJ;23,7;42.420;2.433;38.869;44,82;3.473,00;135;74;26,37;1.539;1.315
